"Id";"Id_material";"Material_desc";"Material_type";"Uom";"Family";"is_active";"Crtdt";"Crtby";"Upddt";"Updby"
"2072";"L0052618821";"FREE PULLEY.KAPPA 3CYL AMS_D .PCD58*6GR";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2073";"K810203";"iStARS MR15 WOODEN BAR 23*23*630";"PACK";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2074";"G5212549849";"RESIN A.Delta TG-11";"SFIN";"KG";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2075";"L0052610981";"OAD.KAPPA AMS OAD.PCD58.GR5. 37320-03500";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2076";"G4022609386";"FRONT BRACKET M/C.KAPPA 4CYL AMS OAD TG9";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2077";"M64961ASVS";"S/T. 3TON(CS) V/SERVICE";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2078";"M64961VS";"S/T. 3TON(CS). 41020 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2079";"G0002655268";"COMPLETE F/HOUSING.VOLVO PENTA 1GRV.SG7K";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2080";"TS091C00101";"SCREW.20TON TRUCK";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2081";"B8702610067";"NAME PLATE.U2-ENG AMS. TG9";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2082";"G2002655294";"F/BKT ASS'Y.THETA";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2083";"TS102C00102";"BOLT HEX.20TON TRUCK";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2084";"B8702655481";"NAME PLATE.TENNANT 6G";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2085";"G4022655487";"F/BKT M/C.U-ENG TG12";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2086";"K803325";"STEEL PALLET 980*980*110.STEEL";"PACK";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2087";"B8702711935";"NAME PLATE,U-ENG 13.5V 20A, V/SERVICE";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2088";"A0002607372";"ALT. GAMMA AMS. 2B300. TG9";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2089";"A509426";"BRACKET,SUB G-ENG TY FS80";"COMP";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2090";"A0002655300VS";"ALT. V/PENTA MULTI 50 VALEO SERVICE.SG7K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2091";"A0002655475";"ALT. U-ENG 13.5V 20A TG12";"FING";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2092";"B8002608093";"COVER.THETA OAP55";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2093";"616491";"S/T. M150 V/S. TS9K";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2094";"B8002608389";"COVER.TB ALPHA AMS";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2095";"616107";"ALT. GAMMA OAD. 2B150. 90A TG9 V/S";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2096";"D0002655602";"RECTIFIER ASS'Y.S-ENG. TG15";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2097";"A0002619299VS";"ALT. KAPPA 3CYL NEW AMS-D OAP. 04635TG V";"FING";"PC";"Valeo Service";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2098";"TS901C02801";"BALL BEARING-F.M-150/5MT";"SFIN";"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2099";"720559";"N/PLATE. GAMMA2 INA 110A SOLID. FG12T";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2100";"1199781";"PLUNGER ASSY -VW";;"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2101";"1205800";"Gasket sheet TSC09";;"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2102";"2547179";"Insulation bush bridge";;"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2103";"2610985";"PROTECTION COVER PULLEY-TG12 HMI";"COMP";"PC";"Gamma 2";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
"2104";"2655149";"Retainer Screw";;"PC";"New Project";"1";"2024-05-10 10:00";"System";"2024-05-10 10:00";"System"
